year,estab,emp,empszes,city_x,state,price,rent,rentpersqft,poverty,city_y,unemployment,total_pop_both,white_both,black_both,american_indian_both,asian_both,hawaiian_both,two_or_more_races_both,total_pop_male,white_male,black_male,american_indian_male,asian_male,hawaiian_male,two_or_more_races_male,total_pop_female,white_female,black_female,american_indian_female,asian_female,hawaiian_female,two_or_more_races_female
2014,66378,573297,2163,San Francisco,CA,986744.75,3935.0,2.8595,51565.0,California,4.4,851116.0,460565.0,49233.0,6738.0,295141.0,3951.0,35488.0,433925.0,247513.0,25629.0,3890.0,137113.0,2000.0,17780.0,417191.0,213052.0,23604.0,2848.0,158028.0,1951.0,17708.0
2014,469482,3631984,10815,New York City,NY,724240.85,1969.6491228070176,2.079866666666667,346785.2,New York City,7.46,1687477.4,899240.0,474359.2,24118.0,239081.6,3537.6,47141.0,803584.0,438283.8,215059.8,12065.4,114239.8,1731.4,22203.8,883893.4,460956.2,259299.4,12052.6,124841.8,1806.2,24937.2
2014,67228,703336,2163,Pittsburgh,PA,130160.25,1161.6666666666667,0.8581666666666666,160100.0,Pittsburgh,5.4,1233073.0,997850.0,164923.0,1919.0,43332.0,394.0,24655.0,594152.0,483272.0,76149.0,899.0,21717.0,171.0,11944.0,638921.0,514578.0,88774.0,1020.0,21615.0,223.0,12711.0
2014,24716,190684,2163,Charleston,SC,270778.4166666667,1534.1666666666667,0.983,48926.0,Charleston,5.6,379814.0,257096.0,109119.0,1555.0,6005.0,396.0,5643.0,183914.0,126973.0,50311.0,841.0,2828.0,210.0,2751.0,195900.0,130123.0,58808.0,714.0,3177.0,186.0,2892.0
2014,6486,62652,2163,Wausau,WI,132628.08333333334,785.5555555555555,0.5529999999999999,15871.0,Wausau,5.0,135131.0,123779.0,1117.0,755.0,7624.0,60.0,1796.0,67864.0,61972.0,660.0,389.0,3899.0,36.0,908.0,67267.0,61807.0,457.0,366.0,3725.0,24.0,888.0
2015,68022,611140,2163,San Francisco,CA,1112694.1666666667,4422.5,3.3866666666666667,49342.0,California,3.6,863836.0,465676.0,49009.0,6683.0,302042.0,3921.0,36505.0,440738.0,250644.0,25571.0,3875.0,140332.0,1987.0,18329.0,423098.0,215032.0,23438.0,2808.0,161710.0,1934.0,18176.0
2015,474658,3690009,10815,New York City,NY,780323.9666666667,2098.8888888888887,2.2526333333333337,336002.0,New York City,5.88,1693636.2,899625.2,473780.2,24016.2,244217.0,3542.6,48455.0,807147.8,438840.6,215125.4,11997.6,116593.0,1726.0,22865.2,886488.4,460784.6,258654.8,12018.6,127624.0,1816.6,25589.8
2015,67636,701226,2163,Pittsburgh,PA,134722.91666666666,1170.8333333333333,0.8743333333333334,160552.0,Pittsburgh,5.0,1228965.0,992088.0,164675.0,1985.0,44496.0,392.0,25329.0,592888.0,480997.0,76238.0,940.0,22265.0,166.0,12282.0,636077.0,511091.0,88437.0,1045.0,22231.0,226.0,13047.0
2015,25716,194144,2163,Charleston,SC,289862.0833333333,1630.0,1.0783333333333334,47615.0,Charleston,5.2,389299.0,265429.0,109411.0,1620.0,6355.0,392.0,6092.0,188491.0,131029.0,50406.0,853.0,2974.0,218.0,3011.0,200808.0,134400.0,59005.0,767.0,3381.0,174.0,3081.0
2015,6546,64477,2163,Wausau,WI,135475.91666666666,797.7777777777778,0.5551666666666667,13755.0,Wausau,4.0,135289.0,123667.0,1121.0,767.0,7776.0,65.0,1893.0,67876.0,61882.0,648.0,396.0,3971.0,36.0,943.0,67413.0,61785.0,473.0,371.0,3805.0,29.0,950.0
2016,68628,627915,2163,San Francisco,CA,1204124.9166666667,4460.833333333333,3.567666666666667,49771.0,California,3.3,872795.0,467849.0,48782.0,6579.0,308199.0,3932.0,37454.0,445043.0,251741.0,25506.0,3794.0,143281.0,1983.0,18738.0,427752.0,216108.0,23276.0,2785.0,164918.0,1949.0,18716.0
2016,478348,3777664,10815,New York City,NY,845144.15,2257.962962962963,2.3260666666666667,337138.8,New York City,5.34,1695195.2,897446.8,472187.6,23941.2,248446.4,3556.4,49616.8,808452.6,438217.6,214668.4,11936.2,118432.0,1726.8,23471.6,886742.6,459229.2,257519.2,12005.0,130014.4,1829.6,26145.2
2016,67924,695456,2163,Pittsburgh,PA,140929.0,1193.3333333333333,0.8866666666666667,154950.0,Pittsburgh,5.2,1226660.0,987173.0,164817.0,1983.0,46278.0,401.0,26008.0,592663.0,479163.0,76572.0,932.0,23234.0,171.0,12591.0,633997.0,508010.0,88245.0,1051.0,23044.0,230.0,13417.0
2016,26642,202114,2163,Charleston,SC,309340.1666666667,1661.6666666666667,1.1263333333333332,45114.0,Charleston,4.35,396785.0,271919.0,109908.0,1597.0,6654.0,398.0,6309.0,192203.0,134065.0,50809.0,845.0,3142.0,203.0,3139.0,204582.0,137854.0,59099.0,752.0,3512.0,195.0,3170.0
2016,6706,64918,2163,Wausau,WI,140876.41666666666,701.8181818181819,0.5966666666666667,12722.0,Wausau,3.6,135057.0,123226.0,1115.0,772.0,7918.0,63.0,1963.0,67898.0,61744.0,670.0,393.0,4067.0,34.0,990.0,67159.0,61482.0,445.0,379.0,3851.0,29.0,973.0
2017,69036,653172,2161,San Francisco,CA,1265612.0,4234.166666666667,3.4083333333333328,48269.0,California,2.9,879166.0,467991.0,48993.0,6620.0,313304.0,4000.0,38258.0,448448.0,252026.0,25648.0,3819.0,145708.0,2001.0,19246.0,430718.0,215965.0,23345.0,2801.0,167596.0,1999.0,19012.0
2017,481116,3824567,10805,New York City,NY,894671.9,2257.037037037037,2.3582000000000014,327782.2,New York City,4.76,1687654.2,890878.0,468674.0,23769.6,250515.6,3555.4,50261.6,804976.8,435081.4,213272.2,11832.6,119273.4,1719.2,23798.0,882677.4,455796.6,255401.8,11937.0,131242.2,1836.2,26463.6
2017,67524,711354,2161,Pittsburgh,PA,146609.25,1169.1666666666667,0.8741666666666665,152435.0,Pittsburgh,4.7,1220656.0,980096.0,163522.0,2016.0,47981.0,417.0,26624.0,589473.0,475851.0,75498.0,950.0,24132.0,178.0,12864.0,631183.0,504245.0,88024.0,1066.0,23849.0,239.0,13760.0
2017,27816,206599,2161,Charleston,SC,327336.5,1663.3333333333333,1.1489999999999998,40718.0,Charleston,3.65,401738.0,276622.0,109577.0,1646.0,6991.0,379.0,6523.0,194719.0,136355.0,50748.0,858.0,3303.0,197.0,3258.0,207019.0,140267.0,58829.0,788.0,3688.0,182.0,3265.0
2017,6780,65153,2161,Wausau,WI,148041.41666666666,744.1666666666666,0.6248333333333335,12197.0,Wausau,2.9,135415.0,123325.0,1137.0,801.0,8031.0,63.0,2058.0,68096.0,61827.0,679.0,392.0,4126.0,34.0,1038.0,67319.0,61498.0,458.0,409.0,3905.0,29.0,1020.0
